FrameNum      8 
Ball346-368   04260426042604260426042604260426042604260426042604260426042604260426042604260426042604260426
Ball369-391   08750875087508750875087508750875087508750875087508750875087508750875087508750875087508750875
Ball392-414   14641464146414641464146414641464146414641464146414641464146414641464146414641464146414641464
Ball415-437   21742174217421742174217421742174217421742174217421742174217421742174217421742174217421742174
Ball438-460   29802980298029802980298029802980298029802980298029802980298029802980298029802980298029802980
Ball461-483   38553855385538553855385538553855385538553855385538553855385538553855385538553855385538553855
Ball484-506   47694769476947694769476947694769476947694769476947694769476947694769476947694769476947694769
Ball507-529   56905690569056905690569056905690569056905690569056905690569056905690569056905690569056905690
Ball530-552   65896589658965896589658965896589658965896589658965896589658965896589658965896589658965896589
Ball553-575   74337433743374337433743374337433743374337433743374337433743374337433743374337433743374337433
Ball576-598   81948194819481948194819481948194819481948194819481948194819481948194819481948194819481948194
Ball599-621   88468846884688468846884688468846884688468846884688468846884688468846884688468846884688468846
Ball622-644   93689368936893689368936893689368936893689368936893689368936893689368936893689368936893689368
Ball645-667   97409740974097409740974097409740974097409740974097409740974097409740974097409740974097409740
Ball668-690   99529952995299529952995299529952995299529952995299529952995299529952995299529952995299529952
Ball691-713   99949994999499949994999499949994999499949994999499949994999499949994999499949994999499949994
Ball714-736   98679867986798679867986798679867986798679867986798679867986798679867986798679867986798679867
Ball737-759   95749574957495749574957495749574957495749574957495749574957495749574957495749574957495749574
Ball760-782   91259125912591259125912591259125912591259125912591259125912591259125912591259125912591259125
Ball783-805   85358535853585358535853585358535853585358535853585358535853585358535853585358535853585358535
Frame         5
Ball001-023   50005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000   
Ball024-046   40814081408140814081408140814081408140814081408140814081408140814081408140814081408140814081
Ball047-069   31933193319331933193319331933193319331933193319331933193319331933193319331933193319331933193
Ball070-092   23672367236723672367236723672367236723672367236723672367236723672367236723672367236723672367
Ball093-115   16311631163116311631163116311631163116311631163116311631163116311631163116311631163116311631
Ball116-138   10091009100910091009100910091009100910091009100910091009100910091009100910091009100910091009
Ball139-161   05240524052405240524052405240524052405240524052405240524052405240524052405240524052405240524
Ball162-184   01900190019001900190019001900190019001900190019001900190019001900190019001900190019001900190
Ball185-207   00210021002100210021002100210021002100210021002100210021002100210021002100210021002100210021
Ball208-230   00210021002100210021002100210021002100210021002100210021002100210021002100210021002100210021
Ball231-253   01900190019001900190019001900190019001900190019001900190019001900190019001900190019001900190
Ball254-276   05240524052405240524052405240524052405240524052405240524052405240524052405240524052405240524
Ball277-299   10091009100910091009100910091009100910091009100910091009100910091009100910091009100910091009
Ball300-322   16311631163116311631163116311631163116311631163116311631163116311631163116311631163116311631
Ball323-345   23672367236723672367236723672367236723672367236723672367236723672367236723672367236723672367
Ball346-368   31933193319331933193319331933193319331933193319331933193319331933193319331933193319331933193
Ball369-391   40814081408140814081408140814081408140814081408140814081408140814081408140814081408140814081
Ball392-414   50005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000
Ball415-437   59185918591859185918591859185918591859185918591859185918591859185918591859185918591859185918
Ball438-460   68066806680668066806680668066806680668066806680668066806680668066806680668066806680668066806
Ball461-483   76327632763276327632763276327632763276327632763276327632763276327632763276327632763276327632
Ball484-506   83688368836883688368836883688368836883688368836883688368836883688368836883688368836883688368
Ball507-529   89908990899089908990899089908990899089908990899089908990899089908990899089908990899089908990
Ball530-552   94759475947594759475947594759475947594759475947594759475947594759475947594759475947594759475
Ball553-575   98099809980998099809980998099809980998099809980998099809980998099809980998099809980998099809
Ball576-598   99789978997899789978997899789978997899789978997899789978997899789978997899789978997899789978
Ball599-621   99789978997899789978997899789978997899789978997899789978997899789978997899789978997899789978
Ball622-644   98099809980998099809980998099809980998099809980998099809980998099809980998099809980998099809
Ball645-667   94759475947594759475947594759475947594759475947594759475947594759475947594759475947594759475
Ball668-690   89908990899089908990899089908990899089908990899089908990899089908990899089908990899089908990
Ball691-713   83688368836883688368836883688368836883688368836883688368836883688368836883688368836883688368
Ball714-736   76327632763276327632763276327632763276327632763276327632763276327632763276327632763276327632
Ball737-759   68066806680668066806680668066806680668066806680668066806680668066806680668066806680668066806
Ball760-782   59185918591859185918591859185918591859185918591859185918591859185918591859185918591859185918
Ball783-805   50005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000
Frame         6
Ball001-023   14641464146414641464146414641464146414641464146414641464146414641464146414641464146414641464   
Ball024-046   08750875087508750875087508750875087508750875087508750875087508750875087508750875087508750875
Ball047-069   04260426042604260426042604260426042604260426042604260426042604260426042604260426042604260426
Ball070-092   01320132013201320132013201320132013201320132013201320132013201320132013201320132013201320132
Ball093-115   00050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005
Ball116-138   00470047004700470047004700470047004700470047004700470047004700470047004700470047004700470047
Ball139-161   02590259025902590259025902590259025902590259025902590259025902590259025902590259025902590259
Ball162-184   06310631063106310631063106310631063106310631063106310631063106310631063106310631063106310631
Ball185-207   11531153115311531153115311531153115311531153115311531153115311531153115311531153115311531153
Ball208-230   18051805180518051805180518051805180518051805180518051805180518051805180518051805180518051805
Ball231-253   25672567256725672567256725672567256725672567256725672567256725672567256725672567256725672567
Ball254-276   34113411341134113411341134113411341134113411341134113411341134113411341134113411341134113411
Ball277-299   43094309430943094309430943094309430943094309430943094309430943094309430943094309430943094309
